Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0805_2012Metric",13.550000,27.500000,0.000000,top
"C2","0.1u","C_0805_2012Metric",13.550000,24.250000,180.000000,top
"C3","4.7u","C_0805_2012Metric",9.500000,26.800000,90.000000,top
"C4","0.1u","C_0805_2012Metric",5.750000,26.800000,90.000000,top
"D1","LED","LED_0805_2012Metric",10.250000,15.162500,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4085",20.475000,30.390000,180.000000,top
"PMOD1","PMOD-Device-x1-Type-4-UART","pmod_pin_array_6x2",35.730000,24.980000,180.000000,top
"R1","1k","R_0805_2012Metric",10.270000,21.500000,180.000000,top
"R2","1.5k","R_0805_2012Metric",7.000000,18.337500,-90.000000,top
"R3","5.1k","R_0805_2012Metric",26.000000,26.800000,-90.000000,top
"R4","5.1k","R_0805_2012Metric",21.500000,26.800000,90.000000,top
"TP1","TestPoint","TestPoint_Pad_2.0x2.0mm",25.525000,7.000000,-90.000000,top
"TP2","TestPoint","TestPoint_Pad_2.0x2.0mm",17.525000,7.000000,-90.000000,top
"TP3","TestPoint","TestPoint_Pad_2.0x2.0mm",9.525000,7.000000,-90.000000,top
"U1","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",17.500000,17.741800,-90.000000,top
