"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C3";"C_0805_2012Metric";2;"4.7u";;;
2;"C2, C4";"C_0805_2012Metric";2;"0.1u";;;
3;"D1";"LED_0805_2012Metric";1;"LED";;;
4;"J1";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0_16P";;;
5;"PMOD1";"pmod_pin_array_6x2";1;"PMOD-Device-x1-Type-4-UART";;;
6;"R1";"R_0805_2012Metric";1;"1k";;;
7;"R2";"R_0805_2012Metric";1;"1.5k";;;
8;"R3, R4";"R_0805_2012Metric";2;"5.1k";;;
9;"TP1, TP2, TP3";"TestPoint_Pad_2.0x2.0mm";3;"TestPoint";;;
10;"U1";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
